,time,open,high,low,close,volume,currency_volume
374,2021-03-26 07:00:00,52597.4,53063.4,52343.4,53010.9,166445.0,1664.45
375,2021-03-26 06:00:00,52839.2,52917.6,52469.9,52611.5,142694.0,1426.94
376,2021-03-26 05:00:00,52697.4,52910.2,52499.3,52835.2,160769.0,1607.69
377,2021-03-26 04:00:00,52415.6,52817.2,52200.3,52710.7,148496.0,1484.96
378,2021-03-26 03:00:00,51725.5,52726.5,51717.6,52416.6,162246.0,1622.46
379,2021-03-26 02:00:00,52272.5,52409.3,51565.2,51714.4,142150.0,1421.5
380,2021-03-26 01:00:00,52116.1,52388.6,51993.2,52276.8,143737.0,1437.37
381,2021-03-26 00:00:00,51330.5,52312.4,51260.2,52119.2,168094.0,1680.94
382,2021-03-25 23:00:00,51755.5,52099.3,51273.0,51355.8,159058.0,1590.58
383,2021-03-25 22:00:00,52475.5,52750.0,51605.9,51754.7,167817.0,1678.17
384,2021-03-25 21:00:00,52037.3,52608.1,51984.6,52466.3,128013.0,1280.13
385,2021-03-25 20:00:00,52202.5,52734.1,51835.1,52030.0,149539.0,1495.39
386,2021-03-25 19:00:00,52261.8,52338.5,51650.3,52199.8,140504.0,1405.04
387,2021-03-25 18:00:00,51647.8,52560.0,51536.6,52255.9,164944.0,1649.44
388,2021-03-25 17:00:00,51319.3,51874.8,51131.9,51649.0,155737.0,1557.37
389,2021-03-25 16:00:00,50967.1,51761.0,50576.2,51323.4,215896.0,2158.96
390,2021-03-25 15:00:00,51338.3,51563.4,50648.6,50992.1,201885.0,2018.85
391,2021-03-25 14:00:00,51680.0,52117.9,51064.6,51327.6,188642.0,1886.42
392,2021-03-25 13:00:00,51098.6,51999.8,50447.8,51687.4,237915.0,2379.15
393,2021-03-25 12:00:00,52154.5,52372.7,50431.4,51075.0,261967.0,2619.67
394,2021-03-25 11:00:00,52963.1,53161.7,52134.8,52163.9,156903.0,1569.03
395,2021-03-25 10:00:00,52957.2,53083.0,52508.0,52964.5,138249.0,1382.49
