,time,open,high,low,close,volume,currency_volume
2558,2020-12-25 07:00:00,23690.2,23693.8,23564.6,23610.7,50902.0,509.02
2559,2020-12-25 06:00:00,23628.0,23756.2,23571.6,23697.9,51809.0,518.09
2560,2020-12-25 05:00:00,23624.0,23656.6,23535.8,23620.3,36684.0,366.84
2561,2020-12-25 04:00:00,23491.7,23624.3,23460.0,23623.9,29230.0,292.3
2562,2020-12-25 03:00:00,23485.8,23573.5,23444.7,23494.0,32900.0,329.0
2563,2020-12-25 02:00:00,23609.4,23637.2,23480.4,23480.4,45766.0,457.66
2564,2020-12-25 01:00:00,23636.8,23677.6,23556.1,23603.4,32135.0,321.35
2565,2020-12-25 00:00:00,23757.5,23839.1,23568.3,23646.7,59017.0,590.17
2566,2020-12-24 23:00:00,23735.7,23813.3,23638.0,23748.6,78667.0,786.67
2567,2020-12-24 22:00:00,23442.6,23789.5,23408.0,23738.3,66323.0,663.23
2568,2020-12-24 21:00:00,23549.6,23596.3,23390.2,23439.7,47669.0,476.69
2569,2020-12-24 20:00:00,23325.7,23598.6,23286.1,23550.7,46543.0,465.43
2570,2020-12-24 19:00:00,23344.2,23430.9,23280.2,23313.9,29801.0,298.01
2571,2020-12-24 18:00:00,23396.9,23439.3,23304.8,23346.8,28344.0,283.44
2572,2020-12-24 17:00:00,23230.1,23490.5,23176.9,23393.0,48830.0,488.3
2573,2020-12-24 16:00:00,23262.2,23370.5,23133.2,23225.7,47997.0,479.97
2574,2020-12-24 15:00:00,23254.5,23327.1,23119.3,23254.0,43707.0,437.07
2575,2020-12-24 14:00:00,23429.1,23464.0,23179.0,23242.1,48148.0,481.48
2576,2020-12-24 13:00:00,23229.6,23431.6,23162.9,23416.8,52620.0,526.2
2577,2020-12-24 12:00:00,23240.9,23325.8,23043.9,23239.6,43771.0,437.71
2578,2020-12-24 11:00:00,23139.0,23326.2,23065.1,23240.7,44736.0,447.36
2579,2020-12-24 10:00:00,23383.5,23387.3,23135.5,23142.9,40888.0,408.88
2580,2020-12-24 09:00:00,23487.1,23503.6,23278.8,23381.2,41704.0,417.04
2581,2020-12-24 08:00:00,23202.9,23518.3,23099.2,23477.7,50543.0,505.43
2582,2020-12-24 07:00:00,22941.3,23243.6,22841.0,23196.1,52530.0,525.3
2583,2020-12-24 06:00:00,23066.6,23157.2,22888.3,22943.0,41446.0,414.46
2584,2020-12-24 05:00:00,23044.2,23153.8,22939.5,23071.8,44891.0,448.91
2585,2020-12-24 04:00:00,22907.5,23062.3,22806.3,23044.3,52071.0,520.71
2586,2020-12-24 03:00:00,22815.5,22975.2,22721.1,22894.9,65654.0,656.54
2587,2020-12-24 02:00:00,23229.6,23253.6,22762.7,22819.3,70762.0,707.62
2588,2020-12-24 01:00:00,23084.9,23238.3,22892.5,23227.1,73743.0,737.43
2589,2020-12-24 00:00:00,23256.5,23274.9,22828.2,23086.5,97919.0,979.19
2590,2020-12-23 23:00:00,23318.6,23493.1,23195.9,23253.7,84158.0,841.58
2591,2020-12-23 22:00:00,23328.3,23401.6,22614.3,23293.2,130553.0,1305.53
2592,2020-12-23 21:00:00,23512.7,23544.8,23163.6,23322.0,76743.0,767.43
2593,2020-12-23 20:00:00,23579.9,23643.9,23438.7,23524.1,51137.0,511.37
2594,2020-12-23 19:00:00,23631.1,23646.0,23510.1,23569.5,44227.0,442.27
2595,2020-12-23 18:00:00,23623.9,23709.4,23564.4,23630.5,50806.0,508.06
2596,2020-12-23 17:00:00,23401.6,23673.8,23351.4,23616.3,57668.0,576.68
2597,2020-12-23 16:00:00,23488.2,23656.6,23377.7,23400.9,87534.0,875.34
2598,2020-12-23 15:00:00,23798.1,23930.5,23344.7,23472.6,106189.0,1061.89
2599,2020-12-23 14:00:00,23635.5,23862.1,23552.7,23798.5,88954.0,889.54
2600,2020-12-23 13:00:00,23917.9,24200.0,23479.1,23642.2,155560.0,1555.6
2601,2020-12-23 12:00:00,23079.5,23925.9,22949.7,23915.0,172045.0,1720.45
2602,2020-12-23 11:00:00,23471.4,23511.2,22801.9,23087.5,193348.0,1933.48
2603,2020-12-23 10:00:00,23677.5,23767.6,23431.3,23469.2,60586.0,605.86
2604,2020-12-23 09:00:00,23535.6,23705.7,23463.5,23678.4,50402.0,504.02
2605,2020-12-23 08:00:00,23606.5,23724.5,23478.4,23535.5,45690.0,456.9
2606,2020-12-23 07:00:00,23525.1,23665.9,23352.8,23606.9,69263.0,692.63
2607,2020-12-23 06:00:00,23555.4,23635.9,23470.0,23537.7,52423.0,524.23
2608,2020-12-23 05:00:00,23476.6,23558.1,23370.1,23558.1,73566.0,735.66
2609,2020-12-23 04:00:00,23735.7,23737.8,23456.3,23488.9,61982.0,619.82
2610,2020-12-23 03:00:00,23659.4,23809.3,23638.3,23733.2,39762.0,397.62
2611,2020-12-23 02:00:00,23739.0,23788.2,23611.6,23661.2,56412.0,564.12
2612,2020-12-23 01:00:00,24040.7,24096.0,23682.2,23746.9,87523.0,875.23
2613,2020-12-23 00:00:00,23842.3,24060.8,23729.2,24034.2,69454.0,694.54
2614,2020-12-22 23:00:00,23764.5,23864.1,23682.1,23845.0,63683.0,636.83
2615,2020-12-22 22:00:00,23466.7,23843.5,23372.7,23768.2,47517.0,475.17
2616,2020-12-22 21:00:00,23454.4,23564.7,23336.2,23466.9,68495.0,684.95
2617,2020-12-22 20:00:00,23439.1,23483.1,23302.8,23453.5,37526.0,375.26
2618,2020-12-22 19:00:00,23478.7,23557.2,23357.6,23440.3,40480.0,404.8
2619,2020-12-22 18:00:00,23381.7,23558.5,23378.9,23475.6,48337.0,483.37
