,time,open,high,low,close,volume,volCcy
0,2021-06-24 15:00:00,34060.6,34557.3,33848.2,33867.0,110395.0,1103.95
1,2021-06-24 14:00:00,34075.2,34166.7,33850.2,34057.6,31718.0,317.18
2,2021-06-24 13:00:00,34085.9,34170.3,33758.3,34066.3,36927.0,369.27
3,2021-06-24 12:00:00,33842.4,34266.8,33828.1,34088.1,77993.0,779.93
4,2021-06-24 11:00:00,33216.1,33908.7,33216.1,33847.8,56568.0,565.68
5,2021-06-24 10:00:00,33286.2,33400.0,33148.8,33231.4,34050.0,340.5
6,2021-06-24 09:00:00,33382.9,33617.2,33195.6,33274.2,46815.0,468.15
7,2021-06-24 08:00:00,32826.2,33387.3,32810.8,33367.7,47324.0,473.24
8,2021-06-24 07:00:00,33006.2,33272.9,32769.8,32841.4,47901.0,479.01
9,2021-06-24 06:00:00,32971.5,33211.4,32727.0,33008.2,38190.0,381.9
10,2021-06-24 05:00:00,32543.1,33057.3,32466.8,32986.3,51403.0,514.03
11,2021-06-24 04:00:00,32584.0,32775.9,32319.0,32540.5,50927.0,509.27
12,2021-06-24 03:00:00,32498.1,32847.4,32371.1,32595.6,44725.0,447.25
13,2021-06-24 02:00:00,32649.7,32856.4,32344.3,32506.4,54061.0,540.61
14,2021-06-24 01:00:00,33191.8,33347.8,32551.3,32646.4,69235.0,692.35
15,2021-06-24 00:00:00,33677.3,33862.3,33166.2,33195.2,50260.0,502.6
16,2021-06-23 23:00:00,33472.6,33736.5,33272.8,33674.4,29999.0,299.99
17,2021-06-23 22:00:00,33347.4,33593.2,33146.2,33479.2,36219.0,362.19
18,2021-06-23 21:00:00,33052.6,33745.1,32974.4,33331.9,45077.0,450.77
19,2021-06-23 20:00:00,32873.2,33297.7,32747.4,33042.0,43887.0,438.87
20,2021-06-23 19:00:00,33310.2,33554.5,32877.3,32887.1,42632.0,426.32
21,2021-06-23 18:00:00,33606.7,33606.7,32968.8,33315.2,53847.0,538.47
22,2021-06-23 17:00:00,33705.3,33765.9,33525.6,33603.4,21273.0,212.73
23,2021-06-23 16:00:00,33490.2,33936.6,33229.4,33706.4,73435.0,734.35
24,2021-06-23 15:00:00,34064.6,34086.1,33408.4,33497.4,86600.0,866.0
25,2021-06-23 14:00:00,34013.8,34195.5,33804.3,34050.3,62273.0,622.73
26,2021-06-23 13:00:00,34198.6,34824.5,33893.5,34012.0,131420.0,1314.2
