"date","perpetual","future","basis","annual_basis","fear","Volatility"
2020-12-12,18473.9555555556,19113.6111111111,3.46247209284423,6.48103750711868,90,4.59678213653993
2020-12-13,19121.7416666667,19995.1472222222,4.56760461876801,8.59368910232125,91,5.71212940686471
2020-12-14,19173.6319444444,20134.1847222222,5.00975913463332,9.4744149437366,95,4.79461739091208
2020-12-15,19345.5041666667,20323.4463768116,5.05513943560062,9.61003069788659,91,5.51719544109706
2020-12-16,20084.8555555556,21231.9708333333,5.71134442368684,10.9143492913387,92,10.231200798735
2020-12-17,22596.2194444444,24049.8722222222,6.43316808527092,12.3584544795994,92,14.3183803874542
2020-12-18,22865.3569444444,24455.3930555556,6.95390898543327,13.4295067708103,95,8.09847586231215
2020-12-19,23330.8138888889,25049.3101449275,7.36577928323823,14.3005821190529,93,7.78043973874424
2020-12-20,23586.0958333333,25279.925,7.18147326558744,14.0173141280183,92,9.66979652305893
2020-12-21,23243.325,24889.5652777778,7.08263674744373,13.8987226495536,92,16.2465678444771
2020-12-22,23100.8972222222,24557.1263888889,6.30377752283071,12.4371826801795,88,7.99802964005494
2020-12-23,23534.5666666667,25010.1579710145,6.26988941520556,12.4375523725545,93,11.1771692726511
2020-12-24,23225.6930555556,24632.9166666667,6.05890901832315,12.0847092441964,86,6.95532895213532
2020-12-25,24027.7888888889,25727.2194444444,7.0727712958283,14.1844039724029,94,9.40482032078639
2020-12-26,25295.9888888889,27189.8916666667,7.48696872890256,15.0980308621516,93,10.0089508022268
2020-12-27,27034.5861111111,29138.0333333333,7.7805786024507,15.7772843883028,91,15.0562038367876
2020-12-28,26973.0458333333,29159.3597222222,8.1055506389532,16.5280781185359,92,9.52106896177295
2020-12-29,26705.2819444444,28517.4791666667,6.78591308637809,13.9149341377978,91,8.46784525434983
2020-12-30,28153.4013888889,30114.1652777778,6.96457192438116,14.3619703525374,91,9.78876605873439
2020-12-31,28835.7527777778,30644.2072463768,6.27157016685451,13.0063813119426,95,10.3275560537846
2021-01-01,29192.6763888889,30900.6013888889,5.85052558130661,12.2025247838681,94,6.15993524875956
2021-01-02,30691.2486111111,32655.9777777778,6.40159412072723,13.4286313452037,94,21.9696818073922
