,time,open,high,low,close,volume,currency_volume
0,2021-04-10 21:00:00,65502.0,66198.3,65359.0,66119.0,32324.0,323.24
1,2021-04-10 20:00:00,67180.2,67485.0,64555.1,65514.5,59810.0,598.1
2,2021-04-10 19:00:00,67775.3,67775.3,67180.0,67212.3,28206.0,282.06
3,2021-04-10 18:00:00,67657.9,67812.4,66976.7,67772.6,32108.0,321.08
4,2021-04-10 17:00:00,67901.2,67901.2,67367.5,67665.5,28320.0,283.2
5,2021-04-10 16:00:00,67919.6,68295.2,67675.9,67880.1,31114.0,311.14
6,2021-04-10 15:00:00,68012.8,68091.5,67690.3,67919.7,25832.0,258.32
7,2021-04-10 14:00:00,68019.0,68112.1,67781.9,68010.2,22554.0,225.54
8,2021-04-10 13:00:00,67538.0,68063.4,67454.3,68058.8,31201.0,312.01
9,2021-04-10 12:00:00,68142.1,68441.1,67289.4,67538.1,48933.0,489.33
10,2021-04-10 11:00:00,68228.5,68306.2,68016.6,68129.1,20006.0,200.06
11,2021-04-10 10:00:00,68479.0,68767.2,68118.0,68220.5,28512.0,285.12
12,2021-04-10 09:00:00,68218.3,68497.9,68089.6,68478.1,23252.0,232.52
13,2021-04-10 08:00:00,68257.5,68587.3,68083.4,68196.1,29381.0,293.81
14,2021-04-10 07:00:00,68249.8,68541.8,68047.5,68255.7,38302.0,383.02
15,2021-04-10 06:00:00,68638.5,68815.9,68214.0,68249.8,39965.0,399.65
16,2021-04-10 05:00:00,69162.0,69455.4,68402.6,68634.8,73662.0,736.62
17,2021-04-10 04:00:00,66414.2,69908.8,66414.2,69171.5,169680.0,1696.8
18,2021-04-10 03:00:00,65465.8,66417.3,65438.1,66417.3,60868.0,608.68
19,2021-04-10 02:00:00,64930.2,65462.7,64866.3,65450.8,35586.0,355.86
20,2021-04-10 01:00:00,64388.0,64946.4,64385.1,64920.2,23345.0,233.45
21,2021-04-10 00:00:00,64453.8,64703.6,64160.1,64386.8,23399.0,233.99
22,2021-04-09 23:00:00,64447.8,64523.7,64120.0,64432.5,23446.0,234.46
23,2021-04-09 22:00:00,64849.7,64863.4,64356.7,64432.8,25689.0,256.89
