"Time","Contracts","Funding Interval","Funding Rate"
"2021-11-09 08:00:00","BTCUSD Perpetual","8h","0.0513%"
"2021-11-09 00:00:00","BTCUSD Perpetual","8h","0.0350%"
"2021-11-08 16:00:00","BTCUSD Perpetual","8h","0.0427%"
"2021-11-08 08:00:00","BTCUSD Perpetual","8h","0.0585%"
"2021-11-08 00:00:00","BTCUSD Perpetual","8h","0.0507%"
"2021-11-07 16:00:00","BTCUSD Perpetual","8h","0.0399%"
"2021-11-07 08:00:00","BTCUSD Perpetual","8h","0.0346%"
"2021-11-07 01:00:00","BTCUSD Perpetual","8h","0.0356%"
"2021-11-06 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-06 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-06 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-05 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-05 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-05 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-04 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-04 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-04 01:00:00","BTCUSD Perpetual","8h","0.0305%"
"2021-11-03 17:00:00","BTCUSD Perpetual","8h","0.0505%"
"2021-11-03 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-03 01:00:00","BTCUSD Perpetual","8h","0.0438%"
"2021-11-02 17:00:00","BTCUSD Perpetual","8h","0.0817%"
"2021-11-02 09:00:00","BTCUSD Perpetual","8h","0.0490%"
"2021-11-02 01:00:00","BTCUSD Perpetual","8h","0.0277%"
"2021-11-01 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-11-01 09:00:00","BTCUSD Perpetual","8h","0.0467%"
"2021-11-01 01:00:00","BTCUSD Perpetual","8h","0.0281%"
"2021-10-31 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-31 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-31 01:00:00","BTCUSD Perpetual","8h","0.0311%"
"2021-10-30 17:00:00","BTCUSD Perpetual","8h","0.0128%"
"2021-10-30 09:00:00","BTCUSD Perpetual","8h","0.0233%"
"2021-10-30 01:00:00","BTCUSD Perpetual","8h","0.0451%"
"2021-10-29 17:00:00","BTCUSD Perpetual","8h","0.0227%"
"2021-10-29 09:00:00","BTCUSD Perpetual","8h","0.0317%"
"2021-10-29 01:00:00","BTCUSD Perpetual","8h","0.0284%"
"2021-10-28 17:00:00","BTCUSD Perpetual","8h","0.0476%"
"2021-10-28 09:00:00","BTCUSD Perpetual","8h","0.0115%"
"2021-10-28 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-27 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-27 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-27 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-26 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-26 09:00:00","BTCUSD Perpetual","8h","0.0260%"
"2021-10-26 01:00:00","BTCUSD Perpetual","8h","0.0345%"
"2021-10-25 17:00:00","BTCUSD Perpetual","8h","0.0254%"
"2021-10-25 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-25 01:00:00","BTCUSD Perpetual","8h","0.0203%"
"2021-10-24 17:00:00","BTCUSD Perpetual","8h","0.0254%"
"2021-10-24 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-24 01:00:00","BTCUSD Perpetual","8h","0.0200%"
"2021-10-23 17:00:00","BTCUSD Perpetual","8h","0.0158%"
"2021-10-23 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-23 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-22 17:00:00","BTCUSD Perpetual","8h","0.0125%"
"2021-10-22 09:00:00","BTCUSD Perpetual","8h","0.0167%"
"2021-10-22 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-21 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-21 09:00:00","BTCUSD Perpetual","8h","0.0651%"
"2021-10-21 01:00:00","BTCUSD Perpetual","8h","0.0456%"
"2021-10-20 17:00:00","BTCUSD Perpetual","8h","0.0597%"
"2021-10-20 09:00:00","BTCUSD Perpetual","8h","0.0714%"
"2021-10-20 01:00:00","BTCUSD Perpetual","8h","0.0151%"
"2021-10-19 17:00:00","BTCUSD Perpetual","8h","0.0145%"
"2021-10-19 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-19 01:00:00","BTCUSD Perpetual","8h","0.0213%"
"2021-10-18 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-18 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-18 01:00:00","BTCUSD Perpetual","8h","0.0358%"
"2021-10-17 17:00:00","BTCUSD Perpetual","8h","0.0425%"
"2021-10-17 09:00:00","BTCUSD Perpetual","8h","0.0325%"
"2021-10-17 01:00:00","BTCUSD Perpetual","8h","0.0236%"
"2021-10-16 17:00:00","BTCUSD Perpetual","8h","0.0329%"
"2021-10-16 09:00:00","BTCUSD Perpetual","8h","0.0472%"
"2021-10-16 01:00:00","BTCUSD Perpetual","8h","0.0329%"
"2021-10-15 17:00:00","BTCUSD Perpetual","8h","0.0456%"
"2021-10-15 09:00:00","BTCUSD Perpetual","8h","0.0229%"
"2021-10-15 01:00:00","BTCUSD Perpetual","8h","0.0442%"
"2021-10-14 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-14 09:00:00","BTCUSD Perpetual","8h","0.0236%"
"2021-10-14 01:00:00","BTCUSD Perpetual","8h","0.0367%"
"2021-10-13 17:00:00","BTCUSD Perpetual","8h","0.0195%"
"2021-10-13 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-13 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-12 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-12 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-12 01:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-11 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-11 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-11 01:00:00","BTCUSD Perpetual","8h","0.0219%"
"2021-10-10 17:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-10 09:00:00","BTCUSD Perpetual","8h","0.0100%"
"2021-10-10 01:00:00","BTCUSD Perpetual","8h","0.0221%"
