"date","perpetual","future","basis","annual_basis","fear","Volatility"
2020-03-02,8900.6,9222.63333333333,3.61810814252222,11.3845644139708,38,4.42828256650054
2020-03-03,8765.36666666667,9064.1,3.40810994786299,10.8170446171304,38,4.71922208245694
2020-03-04,8748.5,9024.23333333334,3.15177840010673,10.0912203161312,40,3.6263565047277
2020-03-05,9055.96666666667,9383.6,3.6178725628407,11.686048543689,41,5.54955690115626
2020-03-06,9124.3,9481.7,3.91701281194171,12.7652649674886,39,3.78805886058771
2020-03-07,8890.33333333333,9186.66666666667,3.33320835364252,10.9605499917074,38,5.61604219736183
2020-03-08,8094.56666666667,8295.56666666667,2.48314713161502,8.2395336639953,33,9.48239303412934
2020-03-09,7905.4,8148.76666666667,3.07848643543231,10.3086931094752,17,9.93210307878102
2020-03-10,7910.16666666667,8103.4,2.44284781188766,8.25592084573144,16,11.9964154093879
2020-03-11,7938.6,8180.13333333333,3.04251799225723,10.378682870784,17,7.56975807446138
2020-03-12,4999.7,4839.83333333333,-3.19752518484443,-11.0103461553605,14,71.0624667923195
2020-03-13,5562.7,5385.03333333333,-3.19389265404689,-11.1025792259725,10,66.5740781195058
2020-03-14,5173.56666666667,5106.73333333333,-1.2918231780783,-4.53380249998635,8,17.3487891580638
2020-03-15,5379.43333333333,5390.03333333333,0.19704677692197,0.698272558995332,12,32.7166985810597
2020-03-16,4992.33333333333,4947.06666666667,-0.906723642919138,-3.24464833005378,9,35.0687222632881
2020-03-17,5353.1,5300.1,-0.990080514094654,-3.57801373905494,8,18.9882718289857
2020-03-18,5372.56666666667,5360.33333333333,-0.227699982007363,-0.831104934326874,11,16.9845974622926
2020-03-19,6200.96666666667,6181.23333333333,-0.318229953394367,-1.17327205039337,12,20.4558141026849
2020-03-20,6174.2,6179.5,0.085841080625833,0.319714228861521,9,30.030297323778
2020-03-21,6181.33333333333,6186.5,0.0835849870578134,0.314520827588679,9,15.6181077998316
2020-03-22,5822.33333333333,5827.5,0.0887387645273997,0.337392177630218,11,17.0801741934294
2020-03-23,6458.26666666667,6442.63333333333,-0.242067014885299,-0.930046951927728,10,22.2875141291862
2020-03-24,6746.36666666667,6735.16666666667,-0.166015287241017,-0.644633828116716,12,13.3859754152549
2020-03-25,6675.06666666667,6640.26666666667,-0.521343107684307,-2.04613155166422,13,16.5646409299245
2020-03-26,6729.46666666667,6701.3,-0.418557191258351,-1.66058016097063,14,5.91996276171233
2020-03-27,6428.7,6379.7,-0.762206978082661,-3.05720381318869,12,12.5427422152808
2020-03-28,6229.16666666667,6165.33333333333,-1.02474916387961,-4.15592716462286,8,11.2220516620755
2020-03-29,5896.6,5848.06666666667,-0.823073183416424,-3.37552485333702,12,7.58615018168595
2020-03-30,6417,6381.93333333333,-0.546465118695132,-2.26658827640594,10,11.2050323220649
2020-03-31,6415.03333333333,6356.9,-0.906204696260359,-3.8018932659199,12,6.13867105563855
2020-04-01,6614.83333333333,6582.2,-0.493335684950488,-2.09380843031312,12,12.3036972264144
2020-04-02,6790.33333333333,6823.33333333333,0.485984978646115,2.08687667300979,14,17.6409899843626
2020-04-03,6743.3,6724.16666666667,-0.283738426784101,-1.2329110211452,14,9.24141344119528
2020-04-04,6848.5,6838.03333333333,-0.152831520284254,-0.672090420527142,12,9.57167942551127
2020-04-05,6780.86666666667,6761.33333333333,-0.288065439029419,-1.2822425029968,12,4.54478008342149
2020-04-06,7309.56666666667,7369.86666666667,0.824946303246433,3.7173506257401,12,7.2003612433325
2020-04-07,7192.33333333333,7212.93333333333,0.286416091208236,1.30677341613758,20,9.10598665816832
2020-04-08,7363.93333333333,7416.4,0.712481554241852,3.29184515567438,21,6.92526780494508
2020-04-09,7290.56666666667,7343.13333333333,0.72102305719264,3.37401815224761,22,6.32549888778687
2020-04-10,6850.63333333333,6828.73333333333,-0.319678472549991,-1.51535899325645,15,8.6376267357705
2020-04-11,6870.16666666667,6853.26666666667,-0.245991121030551,-1.18140472600199,15,4.5957076188385
2020-04-12,6943.36666666667,6910.83333333333,-0.468552719382041,-2.2802899009926,10,8.53317644239219
2020-04-13,6848.26666666667,6807.23333333333,-0.599178380904177,-2.95540687878411,11,7.29231357345579
2020-04-14,6866.56666666667,6836.46666666667,-0.438355898386849,-2.19177949193424,15,5.30003717213743
2020-04-15,6648.73333333333,6610.9,-0.56903069256299,-2.88466948313182,18,5.3245278815454
2020-04-16,7118.93333333333,7133.2,0.200404554989495,1.03024876860797,13,12.9439567930922
2020-04-17,7063.4,7061.96666666667,-0.0202923993166661,-0.105810367865473,15,3.98225297816125
2020-04-18,7251.46666666667,7254.96666666667,0.0482660978928401,0.255320662766473,18,4.93611519084372
