"date","Funding.Rate"
2021-08-31,0.03
2021-09-01,0.03
2021-09-02,0.0561
2021-09-03,0.0555
2021-09-04,0.03
2021-09-05,0.0644
2021-09-06,0.0529
2021-09-07,0.0374
2021-09-08,0.0168
2021-09-09,0.0123
2021-09-10,0.03
2021-09-11,0.03
2021-09-12,0.03
2021-09-13,0.0293
2021-09-14,0.03
2021-09-15,0.0104
2021-09-16,0.03
2021-09-17,0.0235
2021-09-18,0.03
2021-09-19,0.0243
2021-09-20,0.03
2021-09-21,-0.0064
2021-09-22,-0.0385
2021-09-23,0.0036
2021-09-24,0.0021
2021-09-25,0.0204
2021-09-26,0.0253
2021-09-27,0.03
2021-09-28,0.0211
2021-09-29,0.0077
2021-09-30,0.03
2021-10-01,0.0294
2021-10-02,0.03
2021-10-03,0.03
2021-10-04,0.03
2021-10-05,0.03
2021-10-06,0.03
2021-10-07,0.03
2021-10-08,0.03
2021-10-09,0.0375
2021-10-10,0.0421
2021-10-11,0.0419
2021-10-12,0.03
2021-10-13,0.0395
2021-10-14,0.0703
2021-10-15,0.1127
2021-10-16,0.113
2021-10-17,0.0986
2021-10-18,0.0558
2021-10-19,0.0458
2021-10-20,0.1462
2021-10-21,0.1207
2021-10-22,0.0392
2021-10-23,0.0358
2021-10-24,0.0554
2021-10-25,0.0557
2021-10-26,0.0705
2021-10-27,0.03
2021-10-28,0.0691
2021-10-29,0.0828
2021-10-30,0.0812
2021-10-31,0.0511
2021-11-01,0.0848
2021-11-02,0.1584
2021-11-03,0.1043
2021-11-04,0.0505
2021-11-05,0.03
2021-11-06,0.03
2021-11-07,0.1101
2021-11-08,0.1519
2021-11-09,0.1358
2021-11-10,0.1206
2021-11-11,0.03
2021-11-12,0.03
2021-11-13,0.03
2021-11-14,0.03
2021-11-15,0.0347
2021-11-16,0.03
2021-11-17,0.03
2021-11-18,0.03
2021-11-19,0.03
2021-11-20,0.03
2021-11-21,0.03
2021-11-22,0.03
2021-11-23,0.03
2021-11-24,0.03
2021-11-25,0.03
2021-11-26,0.03
2021-11-27,0.03
2021-11-28,0.03
2021-11-29,0.03
2021-11-30,0.03
2021-12-01,0.03
2021-12-02,0.03
2021-12-03,0.03
2021-12-04,-0.1324
2021-12-05,-0.0071
2021-12-06,0.0147
2021-12-07,0.0098
2021-12-08,0.03
