,fear,fundingRate,days
0,10,-7.947500000000001e-05,35.25
1,11,-0.00095781,8.0
2,12,8.355999999999999e-05,10.0
3,13,-0.00018603,27.0
4,14,-0.00011474333333333333,27.0
5,15,-5.2025000000000004e-05,46.0
6,17,0.0003,25.0
7,18,0.0001269,18.0
8,19,-0.00036644,48.333333333333336
9,20,7.471000000000001e-05,44.90909090909091
10,21,2.2368000000019997e-05,30.8
11,22,-0.00021487000000000003,42.333333333333336
12,23,-0.0006088916666666667,35.0
13,24,0.00011003199999999999,35.0
14,25,7.6294e-05,40.2
15,26,0.00014526999999999997,30.0
16,27,0.00010050076923076923,18.692307692307693
17,28,9.995499999999999e-05,37.333333333333336
18,29,-0.0002208799999999,54.0
19,30,0.0003,1.0
20,31,0.00025154999999999996,2.75
21,32,0.00022562,21.25
22,33,0.000100465,10.75
23,34,0.0003,3.0
24,37,0.0003,1.0
25,38,0.00024352999999999997,7.8
26,39,-7.248333333333334e-05,1.3333333333333333
27,40,-0.00012811000000000002,1.75
28,41,0.00019676857142857142,3.0
29,42,0.00016596249999999998,3.0
30,43,0.00016436999999999997,2.4
31,44,0.00029302,1.0
32,45,7.274250000002499e-05,4.0
33,46,0.00022732666666666667,3.0
34,47,0.000177488,1.8
35,48,0.00016746750000001248,5.75
36,49,0.00022359999999999996,3.0
37,50,0.0002849514285714143,3.7142857142857144
38,51,0.0003,4.0
39,52,0.0002348183333333333,7.0
40,53,0.000254386,5.6
41,54,0.00028343749999999994,2.5
42,55,0.00031907428571428576,6.571428571428571
43,56,0.00032896,11.0
44,59,0.0003,3.0
45,60,0.00022122666666666668,4.0
46,61,0.000479972499999975,6.75
47,64,0.00053721,11.0
48,65,0.0005498899999999999,3.8
49,66,0.0007082933333333333,2.6666666666666665
50,67,0.000627635,6.5
51,68,0.00090048199999998,4.2
52,69,0.0003,11.0
53,70,0.0007419350000000001,6.428571428571429
54,71,0.00049709125,8.625
55,72,0.0006531786666666599,10.2
56,73,0.0007225209090909045,11.5
57,74,0.0009623739130434787,9.521739130434783
58,75,0.0007572483333333333,17.5
59,76,0.0009667012499999812,10.3125
60,77,0.0006158519999999998,5.6
61,78,0.0006427761111111,16.27777777777778
62,79,0.0005138823076922845,29.076923076923077
63,80,0.0011345799999999998,33.0
64,81,0.00111586,8.75
65,82,0.0013116724999999749,10.0
66,83,0.0015407625,30.0
67,84,0.0011225914285714286,27.857142857142858
68,86,0.0006596987499999875,25.875
69,87,0.00049076,22.0
70,88,0.0011573400000000002,39.8
71,89,0.00030374666666666667,29.666666666666668
72,90,0.0008797349999999749,26.0
73,91,0.0016726481818181544,41.36363636363637
74,92,0.001148089090909091,37.36363636363637
75,93,0.0015614899999999666,46.666666666666664
76,94,0.0012734374999999836,44.166666666666664
77,95,0.0018007645454545182,37.0
