,date,perpetual,future,basis,annual_basis,fear,Volatility,Unnamed: 0,Date,fundingRate,accumulation_funding_rate
0,2020-09-13,10319.2666666667,10519.9,1.94425960501069,3.65801420530362,38,5.33612394973234,34,2020-09-13,0.0003,0.17020884999999808
1,2020-09-14,10657.3333333333,10884.4,2.13061428750155,4.02940007739931,39,4.83046773830395,35,2020-09-14,2.2400000000000016e-05,0.16990884999999809
2,2020-09-15,10777.6333333333,11039.0666666667,2.42570261250925,4.61136173732227,47,6.33695637859585,36,2020-09-15,-0.00018152,0.16988644999999808
3,2020-09-16,10973.6333333333,11260.0666666667,2.61019595454558,4.98807080318921,43,4.60029113915903,37,2020-09-16,-0.00010523,0.1700679699999981
4,2020-09-17,10930.6333333333,11282.8666666667,3.2224421274766,6.19048092909979,48,3.75049210732004,38,2020-09-17,-7.432999999999997e-05,0.17017319999999808
5,2020-09-18,10917.8666666667,11249.2333333333,3.03508621953005,5.86140989485962,49,3.23600460521033,39,2020-09-18,0.00011279,0.1702475299999981
6,2020-09-19,11068.9333333333,11426.2333333333,3.22795331076765,6.26703701292656,48,4.11267436591879,40,2020-09-19,-9.049e-05,0.1701347399999981
7,2020-09-20,10910.7666666667,11245.1666666667,3.06486253639373,5.98221831969899,52,4.7728989458752,41,2020-09-20,-9.109e-05,0.1702252299999981
8,2020-09-21,10444.5,10679.5666666667,2.25062632645572,4.41655166213085,48,7.04754759955291,42,2020-09-21,-0.0001590199999999,0.1703163199999981
9,2020-09-22,10520.2333333333,10716.9333333333,1.86973039254515,3.68892753123772,39,2.8543455046794,43,2020-09-22,-0.00045596,0.17047533999999798
10,2020-09-23,10241.7333333333,10417.1666666667,1.71292619738847,3.39792425025431,43,5.11306056230605,44,2020-09-23,2.708000000000002e-05,0.17093129999999798
11,2020-09-24,10739.5333333333,10993.2333333333,2.36230003786632,4.71169133235631,39,6.28676089674502,45,2020-09-24,0.00021611,0.170904219999998
12,2020-09-25,10679.1,10906.3333333333,2.1278322455388,4.26735587704209,46,3.392529966759,46,2020-09-25,8.198000000000001e-05,0.17068810999999798
13,2020-09-26,10735.3,10971.4,2.19928646614439,4.43502519415857,45,2.3443847225029,47,2020-09-26,-0.0004325499999999,0.170606129999998
14,2020-09-27,10762.2333333333,11000.4666666667,2.21360498285674,4.48869899301505,47,3.75153696491443,48,2020-09-27,0.0003,0.1710386799999979
15,2020-09-28,10733.5,10953.0333333333,2.04530985543704,4.17060389516491,43,4.54745837694065,49,2020-09-28,0.0003,0.1707386799999979
16,2020-09-29,10822.4333333333,11046.8,2.07316284384598,4.25114852811114,45,3.42435213577426,50,2020-09-29,0.0003,0.1704386799999979
