,date,perpetual,future,basis,annual_basis,fear,Volatility,Unnamed: 0,Date,fundingRate,accumulation_funding_rate
3,2021-03-16,56633.2,62247.9666666667,9.91426701416601,18.8474346883885,71,9.77431219897066,218,2021-03-16,0.00041442,0.0705892299999999
4,2021-03-17,58712.2,64802.3666666667,10.3729151124752,19.822586471484,71,12.6331219608652,219,2021-03-17,0.0004321,0.07017480999999992
5,2021-03-18,57677.8333333333,63462.4,10.0290984115793,19.2664258959286,72,10.6553306464956,220,2021-03-18,0.00090599,0.06974270999999992
6,2021-03-19,58174.7333333333,64439.8666666667,10.7695093287922,20.7982587566622,71,6.05297378661363,221,2021-03-19,0.00037285,0.06883671999999995
7,2021-03-20,58213.3666666667,64973.5666666667,11.6127968318845,22.546121508712,75,5.69345495701554,222,2021-03-20,0.00118145,0.06846386999999994
8,2021-03-21,57428.5666666667,63373.9333333333,10.3526293824734,20.2070038748812,73,8.75523656823869,223,2021-03-21,0.0003,0.06728241999999994
9,2021-03-22,54333.6333333333,59476.1666666667,9.46473301681156,18.5732664039582,70,11.0718393647293,224,2021-03-22,0.0006168,0.06698241999999996
10,2021-03-23,54486.7666666667,59726.1333333333,9.61585167774685,18.9718154723113,66,9.80868955919984,225,2021-03-23,0.00047815,0.06636561999999994
11,2021-03-24,52516.1666666667,57202.9,8.92436297394137,17.7032200298293,65,13.6613078192119,226,2021-03-24,0.00051278,0.06588746999999995
12,2021-03-25,51523.7333333333,56116.3,8.91349746912751,17.7782873018117,60,11.3908743653899,227,2021-03-25,0.0003,0.06537468999999996
13,2021-03-26,54787.5666666667,59522.4333333333,8.64222843747396,17.3319416465824,54,6.82777462779066,228,2021-03-26,0.00023375,0.06507468999999996
14,2021-03-27,55988.0333333333,61422.4,9.70630033441672,19.5734785749287,65,7.96338281758331,229,2021-03-27,0.0003,0.06484093999999996
15,2021-03-28,55722.7,61057.9333333333,9.57461381687054,19.4151891286542,74,6.67841783453882,230,2021-03-28,0.00060224,0.06454093999999998
16,2021-03-29,57574.6666666667,63709.3666666667,10.6552071512934,21.727098381129,72,9.68357623927116,231,2021-03-29,0.00158294,0.06393869999999997
17,2021-03-30,58686.1666666667,65327.8666666667,11.3173178233371,23.2068595815621,72,5.62015867831484,232,2021-03-30,0.00217321,0.06235575999999998
18,2021-03-31,58727.3333333333,65429.7,11.4126868806121,23.5346367877029,76,10.0132077480081,233,2021-03-31,0.0026632899999999,0.06018254999999999
19,2021-04-01,58846.1666666667,65636.0333333333,11.5383329981845,23.9289292291895,74,4.41622552187263,234,2021-04-01,0.00214236,0.0575192600000001
20,2021-04-02,58981.4,65605.5333333333,11.2308852169215,23.4244177381506,74,5.55731683518617,235,2021-04-02,0.00254074,0.05537690000000009
21,2021-04-03,57256.0333333333,63490.8666666667,10.8893909870343,22.8426879900431,73,5.02971009901072,236,2021-04-03,0.00217291,0.05283616000000009
22,2021-04-04,58213.1333333333,64473.5333333333,10.7542742359399,22.6896537347864,74,4.53045701492567,237,2021-04-04,0.00110432,0.05066325000000009
23,2021-04-05,58947.9,66093.0333333333,12.1210990269939,25.7220996793766,71,6.61522464311099,238,2021-04-05,0.00221398,0.0495589300000001
24,2021-04-06,57997.3666666667,64258.6666666667,10.7958349833125,23.0437413386494,75,4.8785155603598,239,2021-04-06,0.00174056,0.047344950000000094
25,2021-04-07,56134.4666666667,61774.7,10.0477187515216,21.5730432017965,72,7.66168574655617,240,2021-04-07,0.0009806,0.045604390000000085
26,2021-04-08,57982.7333333333,64247.9,10.8052282231147,23.3367355114607,73,5.61358196032414,241,2021-04-08,0.00082059,0.04462379000000009
27,2021-04-09,58062.0333333333,64358.7333333333,10.8447803814426,23.5615764239676,70,4.44688045260705,242,2021-04-09,0.00105386,0.04380320000000009
28,2021-04-10,59547.5333333333,66745.0,12.0869266345205,26.4175342610778,70,10.8043130266662,243,2021-04-10,0.00359994,0.04274934000000007
29,2021-04-11,59967.5666666667,67397.9,12.3905866893604,27.2443622988948,76,4.77497286910685,244,2021-04-11,0.00332512,0.039149400000000084
30,2021-04-12,59935.0333333333,67187.5666666667,12.1006578790034,26.7681219747652,74,6.33000371535242,245,2021-04-12,0.0028222,0.03582428000000008
31,2021-04-13,63481.5666666667,72430.4333333333,14.0967955527247,31.3739657118569,74,8.12048235111119,246,2021-04-13,0.00300136,0.03300208000000007
32,2021-04-14,62874.0333333333,70955.0666666667,12.8527357080639,28.7806658493455,75,9.49612764026286,247,2021-04-14,0.00277503,0.030000720000000057
33,2021-04-15,63145.2,71405.6,13.0815960674762,29.4739664483261,79,4.93633038772984,248,2021-04-15,0.0022542599999999,0.02722569000000005
34,2021-04-16,61444.4,68728.6,11.8549452838664,26.8761181901318,78,7.41866168231461,249,2021-04-16,0.00091416,0.02497143000000013
