time,perpetual,future,high.x,low.x,close.x,volume.x,volCcy,date.x,X.y,open.y,high.y,low.y,close.y,volume.y,currency_volume,price,date.y,basis,value
2020-09-12 04:00:00,10739,10342.6,10364.6,10337.6,10359.2,1129.2614501,11692214.44732443,2020-09-12 04:00:00,5057,10512.1,10534.6,10505.9,10526.1,5491,54.91,10522.199999999999,2020-09-12 04:00:00,-3.6912189216873044,-3.6912189216873044
2020-09-12 05:00:00,10738,10360,10370.3,10354.5,10358.6,1273.88509013,13200118.32551287,2020-09-12 05:00:00,5056,10525.3,10541,10522.2,10528.4,4124,41.24,10530.533333333333,2020-09-12 05:00:00,-3.5202086049543677,-3.5202086049543677
2020-09-12 06:00:00,10737,10358.7,10359.2,10323.8,10330.5,1858.41767124,19215198.8463523,2020-09-12 06:00:00,5055,10526.1,10527.9,10490.1,10496.6,4745,47.45,10504.866666666667,2020-09-12 06:00:00,-3.5233305392567686,-3.5233305392567686
2020-09-12 07:00:00,10736,10331,10344,10305.9,10342.3,1192.91177646,12326935.15736022,2020-09-12 07:00:00,5054,10496.2,10509.7,10470.8,10509.1,4168,41.68,10496.533333333333,2020-09-12 07:00:00,-3.7723546944858417,-3.7723546944858417
2020-09-12 08:00:00,10735,10342.3,10342.4,10317,10331.2,1508.47494465,15582430.77305824,2020-09-12 08:00:00,5053,10509.7,10512.9,10487,10499.6,5506,55.06,10499.833333333334,2020-09-12 08:00:00,-3.6581276199347994,-3.6581276199347994
2020-09-12 09:00:00,10734,10331.1,10352.6,10325,10352,1375.77699165,14227237.02785183,2020-09-12 09:00:00,5052,10494,10528.2,10494,10525.5,3891,38.91,10515.9,2020-09-12 09:00:00,-3.7534935718278333,-3.7534935718278333
2020-09-12 10:00:00,10733,10352,10358,10331.6,10338.1,1137.8439002,11772732.67874991,2020-09-12 10:00:00,5051,10526.8,10533.3,10505.3,10512.5,4155,41.55,10517.033333333333,2020-09-12 10:00:00,-3.549799683219976,-3.549799683219976
2020-09-12 11:00:00,10732,10338.9,10345.2,10325.5,10341.7,1068.00733413,11041430.8627301,2020-09-12 11:00:00,5050,10510.4,10523.4,10498.8,10515.9,5672,56.72,10512.699999999999,2020-09-12 11:00:00,-3.6628773760715654,-3.6628773760715654
2020-09-12 12:00:00,10731,10341.6,10341.6,10305.5,10319.6,1279.57363421,13204799.89083272,2020-09-12 12:00:00,5049,10515.5,10515.5,10480.8,10493.6,5395,53.95,10496.633333333333,2020-09-12 12:00:00,-3.628739166899633,-3.628739166899633
2020-09-12 13:00:00,10730,10319.5,10324.5,10269.7,10293.8,1412.63851809,14550757.84926463,2020-09-12 13:00:00,5048,10491.6,10498.9,10441.9,10468.3,11670,116.7,10469.699999999999,2020-09-12 13:00:00,-3.825722273998136,-3.825722273998136
2020-09-12 14:00:00,10729,10293.8,10356.7,10275.8,10347.1,1345.5696912,13893884.11147557,2020-09-12 14:00:00,5047,10468.4,10538.1,10447.7,10526.8,9910,99.1,10504.2,2020-09-12 14:00:00,-4.056296020132359,-4.056296020132359
2020-09-12 15:00:00,10728,10347.5,10379.2,10340,10360.4,1010.52971225,10471383.19522459,2020-09-12 15:00:00,5046,10527.5,10558,10516.6,10537.6,9052,90.52,10537.4,2020-09-12 15:00:00,-3.546793437733035,-3.546793437733035
2020-09-12 16:00:00,10727,10360,10375,10348.6,10370.3,2229.71422355,23114569.40677359,2020-09-12 16:00:00,5045,10538.1,10554.5,10525.9,10548.5,7859,78.59,10542.966666666667,2020-09-12 16:00:00,-3.4212734222056493,-3.4212734222056493
