date,open,close,low,high
2021-06-12,4.9817338293962,4.94479246230206,4.481128715635787,5.175774704528706
2021-06-13,5.7075042301619545,4.961040197332854,4.465067413762914,5.7721326051060515
2021-06-14,5.531303462169633,5.531242650742858,5.29201240959873,5.729755610566107
2021-06-15,5.554323642189229,5.606434539561729,5.035473778049982,6.016282633749329
2021-06-16,4.8331457206144055,5.582496276497033,4.782460375774115,6.2801394762222715
2021-06-17,4.1499679859612515,5.008995482843867,4.01235143509502,5.270567645128503
2021-06-18,3.5394851351730803,4.178323256023816,3.4075739678654196,4.606902066832049
2021-06-19,3.555025551746153,3.807032757993682,3.286892074344308,3.902276396779659
2021-06-20,3.705261976887692,3.475704553806141,2.9544977353849844,3.747518591423027
2021-06-21,2.373575071546195,3.4625135616754124,2.204548358247096,3.6195043606969444
2021-06-22,3.0410878209219123,2.8038382885008675,2.0028285815306437,3.1628980577364096
2021-06-23,3.0789913957934947,3.361097413900655,2.765089523437316,3.806469764130343
2021-06-24,3.3205288675960696,2.9853804341275736,2.6503426075243945,3.876700145585136
2021-06-25,3.266761087859455,3.1681468119059226,2.910179148719671,3.4271197364427843
2021-06-26,3.318960090645852,3.4154862458712727,3.032130356698087,3.5236975911164135
2021-06-27,3.5928822396010514,3.331304812536869,2.9548726543818193,3.510115606936416
2021-06-28,3.241324417125171,3.2370895414436616,3.1105795875506854,3.41622500739258
2021-06-29,3.494868347432504,3.3229244256001875,3.029709854883618,3.824887371631646
2021-06-30,3.534097421203443,3.43817336934858,3.145322062523401,3.587784090909095
2021-07-01,3.4095684909254076,3.399948167132194,2.9927397783721816,3.5595731138201367
2021-07-02,3.280949668968458,3.319744083939529,2.9602446483180427,3.4723169538269962
2021-07-03,3.19624005784526,3.3676129347832746,3.1010262534663933,3.5255976917921075
2021-07-04,3.215808702930755,3.1628893829293374,3.0745721271393727,3.7757082097045447
2021-07-05,3.2199551826996977,3.165114577205095,2.8741328047571852,3.3237580067876795
2021-07-06,3.173530207023039,3.2804170643953343,3.070856306764444,3.3795191410698853
2021-07-07,3.088495704731373,3.0589509742208514,2.997889102380011,3.5135336322356316
2021-07-08,2.6007814323803107,2.8735770643859455,2.5485073028654757,3.0879994744339143
2021-07-09,3.063134107012546,2.60911182128356,2.4961388768765014,3.131665924380569
2021-07-10,2.9490616621984045,3.2280804817153763,2.792795474843699,3.2673787427770926
2021-07-11,3.295441330387254,3.0496392915704233,2.947573397243863,3.32658901060786
2021-07-12,3.0092144137162964,3.180604982206414,2.7391195490879734,3.4153643805271403
2021-07-13,2.434113190867625,3.0374799986690895,2.293356298907687,3.222860164462925
2021-07-14,2.3967594137815986,2.4539801608843774,2.094116529749751,2.695349630748996
2021-07-15,1.8659205921599167,2.3714491244790823,1.5287642729619757,2.3993826786903147
2021-07-16,1.973375891375654,1.7680406507148003,1.711852431540158,2.2810716943686384
2021-07-17,1.913739473484554,1.879831175605819,1.6511953733262557,2.129825730104761
2021-07-18,1.8581070376120963,2.201255894825056,1.734331258229048,2.412714148517621
