,date,whales_change,whales
0,2009-01-16,0.0012182682378384549,0.012030727622996163
1,2009-01-17,0.0020776059251953237,0.012030727622996163
2,2009-01-18,0.00329116316270096,0.01698980132507891
3,2009-01-19,0.004761753245660945,0.020588261161439792
4,2009-01-20,0.006413904734364447,0.023130120841849018
5,2009-01-21,0.00834677119435713,0.02706013043989758
6,2009-01-22,0.009561776553386643,0.02706013043989758
7,2009-01-23,102.351308370515,1432.8085137707085
8,2009-01-24,203.03585058327397,1409.607652433872
9,2009-01-25,303.7196843569327,1409.607652433872
10,2009-01-26,404.4030040649006,1409.607652433872
11,2009-01-27,503.7472021810153,1390.8650338672908
12,2009-01-28,603.0908388671875,1390.8650338672908
13,2009-01-29,702.4348344839103,1390.8650338672908
14,2009-01-30,597.0962657020169,1390.8650338672908
15,2009-01-31,614.0013616541702,3055.8746174702646
16,2009-02-01,627.2442809501385,3004.59918520998
17,2009-02-02,640.4874572789527,3004.59918520998
18,2009-02-03,656.4083321072555,3004.59918520998
19,2009-02-04,672.3294876505299,3004.59918520998
20,2009-02-05,688.2506431938041,3004.59918520998
21,2009-02-06,806.5133311399541,3004.59918520998
22,2009-02-07,677.3134502083522,2893.3432494642157
23,2009-02-08,555.4386310282184,2893.3432494642157
24,2009-02-09,433.56381184808424,2893.3432494642157
25,2009-02-10,310.35023419890877,2893.3432494642157
26,2009-02-11,183.4046738993129,2841.095492358327
27,2009-02-12,56.45911359971751,2841.095492358327
28,2009-02-13,-70.48644669987834,2841.095492358327
29,2009-02-14,-62.60904592129555,2841.095492358327
30,2009-02-15,-59.95704655348891,2819.215304867746
31,2009-02-16,-57.30504718568227,2819.215304867746
32,2009-02-17,-54.653047817875176,2819.215304867746
33,2009-02-18,-44.53708314922687,2819.215304867746
34,2009-02-19,-34.421118480579025,2819.215304867746
35,2009-02-20,-24.305153811931177,2819.215304867746
36,2009-02-21,-22.13604169655173,2819.215304867746
37,2009-02-22,-18.246499008726914,2799.540957900834
38,2009-02-23,-14.35695632090119,2799.540957900834
39,2009-02-24,-10.467413633075921,2799.540957900834
40,2009-02-25,-10.309853595670575,2799.540957900834
41,2009-02-26,-10.152293558266138,2799.540957900834
42,2009-02-27,-9.994733520860791,2799.540957900834
43,2009-02-28,-9.837173483455445,2799.540957900834
44,2009-03-01,-8.431862985819407,2799.540957900834
45,2009-03-02,-7.02655248818246,2799.540957900834
46,2009-03-03,113.18006558544312,4462.75926396468
47,2009-03-04,115.9906865807161,2819.215304867746
48,2009-03-05,118.80130757599,2819.215304867746
49,2009-03-06,121.61192857126298,2819.215304867746
50,2009-03-07,124.42254956653596,2819.215304867746
51,2009-03-08,125.82786006417246,2819.215304867746
52,2009-03-09,127.23317056180895,2819.215304867746
53,2009-03-10,-108.96413409253273,2819.215304867746
54,2009-03-11,-110.36944459016922,2819.215304867746
55,2009-03-12,-113.18006558544266,2799.540957900834
56,2009-03-13,-114.58537608307915,2819.215304867746
57,2009-03-14,-115.9906865807161,2819.215304867746
58,2009-03-15,-117.39599707835214,2819.215304867746
59,2009-03-16,-118.80130757598818,2819.215304867746
60,2009-03-17,-1.4053104976360373,2819.215304867746
61,2009-03-18,-1.4053104976360373,2819.215304867746
62,2009-03-19,1.4053104976369468,2819.215304867746
63,2009-03-20,1.4053104976369468,2819.215304867746
64,2009-03-21,1.4053104976369468,2819.215304867746
65,2009-03-22,1.4053104976369468,2819.215304867746
66,2009-03-23,1.4053104976369468,2819.215304867746
67,2009-03-24,1.4053104976369468,2819.215304867746
68,2009-03-25,1.4053104976369468,2819.215304867746
69,2009-03-26,4.547473508864641e-13,2819.215304867746
70,2009-03-27,4.547473508864641e-13,2819.215304867746
71,2009-03-28,4.547473508864641e-13,2819.215304867746
72,2009-03-29,4.547473508864641e-13,2819.215304867746
73,2009-03-30,4.547473508864641e-13,2819.215304867746
74,2009-03-31,4.547473508864641e-13,2819.215304867746
75,2009-04-01,4.547473508864641e-13,2819.215304867746
76,2009-04-02,4.547473508864641e-13,2819.215304867746
77,2009-04-03,4.547473508864641e-13,2819.215304867746
78,2009-04-04,4.547473508864641e-13,2819.215304867746
79,2009-04-05,4.547473508864641e-13,2819.215304867746
80,2009-04-06,4.547473508864641e-13,2819.215304867746
81,2009-04-07,4.547473508864641e-13,2819.215304867746
82,2009-04-08,4.547473508864641e-13,2819.215304867746
83,2009-04-09,4.547473508864641e-13,2819.215304867746
84,2009-04-10,4.547473508864641e-13,2819.215304867746
85,2009-04-11,-1.405310497636492,2799.540957900834
86,2009-04-12,-1.4053104976360373,2819.215304867746
87,2009-04-13,-1.405310497636492,2819.215304867746
88,2009-04-14,-1.405310497636492,2819.215304867746
89,2009-04-15,-1.4053104976360373,2819.215304867746
90,2009-04-16,-1.4053104976360373,2819.215304867746
91,2009-04-17,-1.4053104976360373,2819.215304867746
92,2009-04-18,1.4053104976369468,2819.215304867746
93,2009-04-19,1.4053104976369468,2819.215304867746
94,2009-04-20,118.80130757598954,4462.759263964678
95,2009-04-21,236.19730465434168,4462.759263964678
96,2009-04-22,353.5933017326938,4462.759263964678
97,2009-04-23,470.98929881104596,4462.759263964678
98,2009-04-24,588.385295889399,4462.759263964678
99,2009-04-25,704.3759824701146,4462.759263964678
100,2009-04-26,821.7719795484668,4462.759263964678
101,2009-04-27,704.3759824701146,4462.759263964678
102,2009-04-28,586.9799853917625,4462.759263964678
103,2009-04-29,469.5839883134104,4462.759263964678
104,2009-04-30,352.1879912350578,4462.759263964678
105,2009-05-01,234.7919941567061,4462.759263964678
