"","date","perpetual","future","basis","annual_basis"
"1",2020-09-13,10319.2666666667,10519.9,1.94425960501069,3.65801420530362
"2",2020-09-14,10657.3333333333,10884.4,2.13061428750155,4.02940007739931
"3",2020-09-15,10777.6333333333,11039.0666666667,2.42570261250925,4.61136173732227
"4",2020-09-16,10973.6333333333,11260.0666666667,2.61019595454558,4.98807080318921
"5",2020-09-17,10930.6333333333,11282.8666666667,3.2224421274766,6.19048092909979
"6",2020-09-18,10917.8666666667,11249.2333333333,3.03508621953005,5.86140989485962
"7",2020-09-19,11068.9333333333,11426.2333333333,3.22795331076765,6.26703701292656
"8",2020-09-20,10910.7666666667,11245.1666666667,3.06486253639373,5.98221831969899
"9",2020-09-21,10444.5,10679.5666666667,2.25062632645572,4.41655166213085
"10",2020-09-22,10520.2333333333,10716.9333333333,1.86973039254515,3.68892753123772
"11",2020-09-23,10241.7333333333,10417.1666666667,1.71292619738847,3.39792425025431
"12",2020-09-24,10739.5333333333,10993.2333333333,2.36230003786632,4.71169133235631
"13",2020-09-25,10679.1,10906.3333333333,2.1278322455388,4.26735587704209
"14",2020-09-26,10735.3,10971.4,2.19928646614439,4.43502519415857
"15",2020-09-27,10762.2333333333,11000.4666666667,2.21360498285674,4.48869899301505
"16",2020-09-28,10733.5,10953.0333333333,2.04530985543704,4.17060389516491
"17",2020-09-29,10822.4333333333,11046.8,2.07316284384598,4.25114852811114
"18",2020-09-30,10768.5666666667,10999.4333333333,2.14389411156545,4.42102458034684
"19",2020-10-01,10612.6,10834.1666666667,2.08776988359748,4.32975004268795
"20",2020-10-02,10565.0333333333,10791.7666666667,2.14607305230146,4.47609522337162
"21",2020-10-03,10547.5,10768.6,2.09623133443944,4.39726687971493
"22",2020-10-04,10663,10915.2333333333,2.36550064084529,4.9907961497603
"23",2020-10-05,10775,11012,2.19953596287703,4.6676199212216
"24",2020-10-06,10597,10831.5666666667,2.21351954955806,4.72476395081106
"25",2020-10-07,10662.7333333333,10886.1333333333,2.09514758567221,4.49840511041387
"26",2020-10-08,10913.4,11182.8333333333,2.46883036756038,5.33208925538188
"27",2020-10-09,11065.0333333333,11335.4666666667,2.44403541486546,5.30995789539221
"28",2020-10-10,11302.7666666667,11592.3,2.56161470790337,5.59873873284269
"29",2020-10-11,11370.3333333333,11669.3666666667,2.62994342001114,5.78270691749437
"30",2020-10-12,11554.6333333333,11941.2,3.34555546259943,7.40077420514419
"31",2020-10-13,11424.3333333333,11746.5333333333,2.82029585971463,6.27687798046245
"32",2020-10-14,11410.6,11733.9333333333,2.83362253810785,6.34522838287953
"33",2020-10-15,11493.2666666667,11871.2,3.2883021363233,7.4088288873951
"34",2020-10-16,11321.6333333333,11635.2333333333,2.76991835689195,6.27962857307803
"35",2020-10-17,11351.0333333333,11672.3,2.83028564212951,6.45658912110795
"36",2020-10-18,11488.4,11836.0666666667,3.02624096189779,6.94703113894776
"37",2020-10-19,11729.7333333333,12075.4666666667,2.94749525422575,6.80908713792657
"38",2020-10-20,11909.5,12274.3666666667,3.0636606630561,7.12252319755082
"39",2020-10-21,12883.4333333333,13332.7,3.48716568823526,8.15907356542225
"40",2020-10-22,12934.1333333333,13327.4,3.04053357524278,7.15996616105558
"41",2020-10-23,12918.2,13318.8333333333,3.10130926393255,7.35050572295702
